type,text,evidence,story,story_id,file,text_norm,cluster
principle,High standards and disciplined practice produce lasting knowledge and character.,"She believed in memorization, and it was an annual April ritual for the senior English class.",A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,high standards and disciplined practice produce lasting knowledge and character,7
principle,"Private, firm encouragement motivates improvement more effectively than public scolding.","I’m not going to tell your mother about this, Keith, because you and I both know you can do better.",A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,"private, firm encouragement motivates improvement more effectively than public scolding",5
principle,Consistent intellectual curiosity and exposure to literature expand students' horizons in limited-opportunity settings.,She opened my mind to countless new thoughts as well as new words. She motivated me to aspire and look beyond my immediate environment.,A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,consistent intellectual curiosity and exposure to literature expand students' horizons in limited-opportunity settings,5
principle,Communities can preserve and extend a leader's legacy through collective action (memorials and scholarships).,"In addition to working together to fund the gravestone, we launched a campaign to establish a scholarship fund in her memory.",A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,communities can preserve and extend a leader's legacy through collective action (memorials and scholarships,11
heuristic,"When a student underperforms, address them privately and set a higher expectation instead of immediately escalating to caregivers.","I’m not going to tell your mother about this, Keith, because you and I both know you can do better.",A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,"when a student underperforms, address them privately and set a higher expectation instead of immediately escalating to caregivers",5
heuristic,"Implement rigorous, repeatable practice rituals to create durable learning (e.g., annual memorization exercises).","She believed in memorization, and it was an annual April ritual for the senior English class.",A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,"implement rigorous, repeatable practice rituals to create durable learning (e.g., annual memorization exercises",8
heuristic,"When honoring a mentor, mobilize peers and alumni to fund tangible memorials and scholarships to continue their impact.","In addition to working together to fund the gravestone, we launched a campaign to establish a scholarship fund in her memory.",A Remarkable Teacher’s Legacy,P1_S03,P1_S03.json,"when honoring a mentor, mobilize peers and alumni to fund tangible memorials and scholarships to continue their impact",11
principle,Leaders should model the behaviors they expect from others.,"He wore the uniform, talked the talk and walked the walk of the Boy Scouts of America.",On My Honor,P1_S04,P1_S04.json,leaders should model the behaviors they expect from others,10
principle,Require genuine effort before granting rewards to instill discipline and competence.,"In his book, one had to do the work—all of it—to achieve the goals before basking in any rewards.",On My Honor,P1_S04,P1_S04.json,require genuine effort before granting rewards to instill discipline and competence,1
principle,Consistent mentorship during formative years shapes long-term character and choices.,His positive leadership helped keep me grounded during these formative stages of my life.,On My Honor,P1_S04,P1_S04.json,consistent mentorship during formative years shapes long-term character and choices,6
principle,Use structured milestones and visible recognition to motivate progress and learning.,"We were challenged to advance through the various levels —Bobcat, Wolf, Bear, etc., with an ultimate goal of reaching something called Webelos.",On My Honor,P1_S04,P1_S04.json,use structured milestones and visible recognition to motivate progress and learning,8
principle,Embed charity and service as routine practices to reinforce citizenship.,we always tried to find a less fortunate kid who could not afford a uniform and we would donate my outgrown outfit.,On My Honor,P1_S04,P1_S04.json,embed charity and service as routine practices to reinforce citizenship,12
heuristic,Model desired behavior by consistently participating and visibly following the same standards as the group.,"He wore the uniform, talked the talk and walked the walk of the Boy Scouts of America.",On My Honor,P1_S04,P1_S04.json,model desired behavior by consistently participating and visibly following the same standards as the group,10
heuristic,Require completion of substantive work before awarding recognition to build discipline.,one had to do the work—all of it—to achieve the goals before basking in any rewards.,On My Honor,P1_S04,P1_S04.json,require completion of substantive work before awarding recognition to build discipline,1
heuristic,"Create clear ranks, badges, and score-keeping to turn progress into tangible, motivating milestones.",We were issued individual score sheets that kept track of exercises and projects.,On My Honor,P1_S04,P1_S04.json,"create clear ranks, badges, and score-keeping to turn progress into tangible, motivating milestones",11
heuristic,Monitor each person's development individually to tailor guidance and accountability.,he monitored the development and progress of each scout individually.,On My Honor,P1_S04,P1_S04.json,monitor each person's development individually to tailor guidance and accountability,2
principle,Lifelong engagement can come from enjoyment even without technical mastery.,"I have tinkered with music and musical instruments all my life, and have developed an enduring love for music.",A Would-be Music Man,P1_S05,P1_S05.json,lifelong engagement can come from enjoyment even without technical mastery,13
principle,Mentor demonstration and support can compensate for formal-skill gaps and create opportunities.,"I learned the pieces from listening to him, without any meaningful reference to the sheet music.",A Would-be Music Man,P1_S05,P1_S05.json,mentor demonstration and support can compensate for formal-skill gaps and create opportunities,3
principle,Be honest with yourself about willingness to invest time; declining commitments may be preferable to half-hearted participation.,"I never used the scholarship, because it required playing in the college marching band, which I considered too much work.",A Would-be Music Man,P1_S05,P1_S05.json,be honest with yourself about willingness to invest time; declining commitments may be preferable to half-hearted participation,8
principle,Regret follows neglected natural gifts when discipline is lacking.,"I have failed to develop certain gifts I was blessed with, and regret not being more diligent in mastering musical skills at a young age.",A Would-be Music Man,P1_S05,P1_S05.json,regret follows neglected natural gifts when discipline is lacking,1
heuristic,"When written music is overwhelming, learn by listening and rehearse with a knowledgeable mentor to create an audition-quality performance.","I learned the pieces from listening to him, without any meaningful reference to the sheet music.",A Would-be Music Man,P1_S05,P1_S05.json,"when written music is overwhelming, learn by listening and rehearse with a knowledgeable mentor to create an audition-quality performance",3
heuristic,"If an opportunity requires a commitment you are unwilling to sustain, decline it rather than participate half-heartedly.","I never used the scholarship, because it required playing in the college marching band, which I considered too much work.",A Would-be Music Man,P1_S05,P1_S05.json,"if an opportunity requires a commitment you are unwilling to sustain, decline it rather than participate half-heartedly",5
heuristic,Use allotted practice time to focus on personally motivating material (play by ear) to maintain engagement when technical drills are aversive.,"So, I would spend all the allotted practice time tinkering with familiar melodies and chords.",A Would-be Music Man,P1_S05,P1_S05.json,use allotted practice time to focus on personally motivating material (play by ear) to maintain engagement when technical drills are aversive,13
